Date : 2022-07-04 17:38:58
Directory : /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src
Total : 123 files,  7064 codes, 332 comments, 1566 blanks, all 8962 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/box/box_background_window.tres     | GDResource   |         14 |          0 |          2 |         16 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/box/box_foreground_disable.tres    | GDResource   |         12 |          0 |          2 |         14 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/box/box_foreground_hover.tres      | GDResource   |         12 |          0 |          2 |         14 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/box/box_foreground_normal.tres     | GDResource   |         12 |          0 |          2 |         14 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/box/box_foreground_pressed.tres    | GDResource   |         13 |          0 |          2 |         15 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/icons/icon_gui_close.svg           | XML          |          1 |          0 |          1 |          2 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/icons/icon_gui_close.svg.import    | GDResource   |         30 |          0 |          6 |         36 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/style_settings.tscn                | GDResource   |        177 |          0 |         42 |        219 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/type/type_bold_extra_large.tres    | GDResource   |          6 |          0 |          3 |          9 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/type/type_bold_extra_small.tres    | GDResource   |          6 |          0 |          3 |          9 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/type/type_bold_large.tres          | GDResource   |          5 |          0 |          3 |          8 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/type/type_bold_normal.tres         | GDResource   |          6 |          0 |          3 |          9 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/type/type_bold_small.tres          | GDResource   |          6 |          0 |          3 |          9 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/type/type_regular_extra_large.tres | GDResource   |          6 |          0 |          3 |          9 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/type/type_regular_extra_small.tres | GDResource   |          6 |          0 |          3 |          9 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/type/type_regular_large.tres       | GDResource   |          5 |          0 |          3 |          8 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/type/type_regular_normal.tres      | GDResource   |          6 |          0 |          3 |          9 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/style/type/type_regular_small.tres       | GDResource   |          6 |          0 |          3 |          9 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/test/test_adjacency_graphs.gd            | GDScript     |          7 |          0 |          2 |          9 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/test/test_database.gd                    | GDScript     |         17 |          0 |          3 |         20 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/test/test_date.gd                        | GDScript     |         45 |          0 |          8 |         53 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/test/test_frequency_lists.gd             | GDScript     |          9 |          0 |          2 |         11 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/test/test_matching.gd                    | GDScript     |        492 |         18 |         54 |        564 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/test/test_passwords.gd                   | GDScript     |         64 |          1 |          9 |         74 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/test/test_record.gd                      | GDScript     |          4 |          0 |          2 |          6 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/test/test_salsa.gd                       | GDScript     |         14 |          0 |          5 |         19 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/test/test_settings.gd                    | GDScript     |         12 |          2 |          3 |         17 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/test/test_utility.gd                     | GDScript     |         20 |          0 |          4 |         24 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/test/test_zxcvbn.gd                      | GDScript     |         30 |          4 |         14 |         48 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/zxcvbn/adjacency_graphs.gd               | GDScript     |          8 |          1 |          3 |         12 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/zxcvbn/feedback.gd                       | GDScript     |        125 |          0 |         16 |        141 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/zxcvbn/frequency_lists.gd                | GDScript     |          7 |          0 |          4 |         11 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/zxcvbn/matching.gd                       | GDScript     |        545 |         94 |         90 |        729 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/zxcvbn/scoring.gd                        | GDScript     |        283 |        101 |         77 |        461 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/zxcvbn/time_estimates.gd                 | GDScript     |         72 |         22 |         14 |        108 |
| /home/andrew/dev/godot/git/andrew-wilkes/godot-password-manager/src/zxcvbn/zxcvbn.gd                         | GDScript     |         14 |          0 |          7 |         21 |
| Total                                                                                                        |              |      7,064 |        332 |      1,566 |      8,962 |
+--------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
